file_name,label,value,x0,y0,x2,y2
1040_file_1.pdf,Basic Information___First Name,Maureen,111.9,329.1,639.7,361.1
1040_file_1.pdf,Basic Information___Last Name,Hoffman,673.3,325.9,1258.6,359.5
1040_file_1.pdf,Income___One_F,23287.39,1405.7,1183.9,1594.4,1211
1040_file_1.pdf,Income___Three_B,8,1404.1,1386.8,1596,1412.3
1040_file_1.pdf,Income___Four_B,6,1404.1,1420.3,1599.2,1445.9
1040_file_1.pdf,Income___Five_B,366,1402.5,1450.7,1600.8,1479.4
1040_file_1.pdf,Income___Six_B,2268.27,1402.5,1487.4,1596,1511.4
1040_file_1.pdf,Income___Eight,5884,1404.1,1586.5,1596,1610.5
1040_file_1.pdf,Income___Nine,4495,1404.1,1618.4,1592.9,1644
1040_file_1.pdf,Income___Eleven,58037.69,1402.5,1684,1599.2,1709.5
1040_file_1.pdf,Income___Twelve,64460,1404.1,1717.5,1597.6,1744.7
1040_file_1.pdf,Income___Fifteen,17,1404.1,1819.8,1596,1848.5
1040_file_2.pdf,Basic Information___First Name,Hannah,111.9,329.1,639.7,361.1
1040_file_2.pdf,Basic Information___Last Name,Johnson,673.3,325.9,1258.6,359.5
1040_file_2.pdf,Income___One_A,7,1405.7,1017.7,1591.3,1046.5
1040_file_2.pdf,Income___One_C,489,1405.7,1086.4,1591.3,1112
1040_file_2.pdf,Income___One_E,83284.97,1404.1,1151.9,1594.4,1179.1
1040_file_2.pdf,Income___One_F,75085.819,1405.7,1183.9,1594.4,1211
1040_file_2.pdf,Income___One_G,70500.5,1404.1,1219,1596,1246.2
1040_file_2.pdf,Income___Four_B,6026.65,1404.1,1420.3,1599.2,1445.9
1040_file_2.pdf,Income___Seven,52150,1404.1,1548.1,1597.6,1576.9
1040_file_2.pdf,Income___Eleven,64200.35,1402.5,1684,1599.2,1709.5
1040_file_2.pdf,Income___Twelve,47954.2,1404.1,1717.5,1597.6,1744.7
1040_file_2.pdf,Income___Fifteen,71666.08,1404.1,1819.8,1596,1848.5
1040_file_3.pdf,Basic Information___First Name,Mrs.,111.9,329.1,639.7,361.1
1040_file_3.pdf,Basic Information___Last Name,Morrison,673.3,325.9,1258.6,359.5
1040_file_3.pdf,Income___One_A,42,1405.7,1017.7,1591.3,1046.5
1040_file_3.pdf,Income___One_E,3959.14,1404.1,1151.9,1594.4,1179.1
1040_file_3.pdf,Income___One_F,32217.45,1405.7,1183.9,1594.4,1211
1040_file_3.pdf,Income___One_G,96129.601,1404.1,1219,1596,1246.2
1040_file_3.pdf,Income___One_H,9217.73,1404.1,1252.6,1596,1278.1
1040_file_3.pdf,Income___Four_B,6133.789,1404.1,1420.3,1599.2,1445.9
1040_file_3.pdf,Income___Five_B,4,1402.5,1450.7,1600.8,1479.4
1040_file_3.pdf,Income___Six_B,48606.05,1402.5,1487.4,1596,1511.4
1040_file_3.pdf,Income___Ten,33207.83,1402.5,1652,1600.8,1679.2
